Name,Address,Type,Description,Image_URL
Bear Coast Coffee,"34052 La Plaza, Dana Point, CA 92629",Cafe,"A cozy coffee spot in Dana Point that’s perfect for starting the day or catching up with friends. I love coming here for their lattes and the overall vibe, it’s always super welcoming and relaxed. It’s one of my go-to places when I want something quick but still really good quality.",https://cdn.shopify.com/s/files/1/0413/2889/files/IMG_0294_large.JPG?v=1538755242
Coffee Importers,"24200 Dana Point Harbor Dr Ste A, Dana Point, CA 92629",Cafe,This is one of my favorite spots in Dana Point because it’s right on the harbor and perfect for a chill morning. I always go here when I’m home.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeEwJ3EXHDKlSXJTfkRq44_Zbox_z48_EHQg&s
Coastal Kitchen,"34091 CA-1, Dana Point, CA 92629",Restaurant,"One of my favorite spots in Dana Point with amazing ocean views. It’s perfect for brunch or dinner and has such a fun, coastal vibe. I would definitely take a friend here for the atmosphere and food.","https://www.ocregister.com/wp-content/uploads/migration/oel/oeli2k-b88785965z.120161005151850000gkpimgm3.10.jpg?w=1800&resize=1800,1800 "
White Rooster,"34320 Pacific Coast Hwy H, Dana Point, CA 92629",Restaurant,This is one of my go-to breakfast spots in Dana Point. The food is really good and the vibe is super cute and relaxed. It’s a great place to start the day.,https://img.p.mapq.st/?url=https%3A%2F%2Fs3-media0.fl.yelpcdn.com%2Fbphoto%2FJYDvz7Yw5gJYpDfZnkc-lw%2Fl.jpg&w=3840&q=75 
Hook & Anchor ,"34091 La Plaza, Dana Point, CA 92629",Restaurant,A really fun seafood spot with great food and drinks. I love the atmosphere here and it’s a place I’d take someone visiting because it feels very “Dana Point.”,https://images.squarespace-cdn.com/content/v1/682b73795b94600005b4b9b3/aa8cfa30-25ef-446e-9536-ea0fe8ad15a5/PL100260.JPG
Dana Point Harbor,"34571 Golden Lantern, Dana Point, CA 92629",Recreation,"A central part of the city where there are restaurants, shops, and boats all in one area. It’s always lively and is a place I go often, whether it’s for food, walking around, or just enjoying the water.",https://danapointharbor.com/wp-content/uploads/2020/08/babybeach.jpg
Doris Walker Overlook,"34400 Old Golden Lantern, Dana Point, CA 92629",Recreation,"One of the best views in Dana Point with a full overlook of the ocean and harbor. It’s a really peaceful place to walk around, watch the sunset, and just take in how pretty the area is.",https://www.greatofficiants.com/wp-content/uploads/2020/12/Heritage-Park-Overlook-compass-and-benches.jpg
Dana Point Caves,"24200 Dana Point Harbor Dr, Dana Point, CA 92629",Recreation,"A super cool scenic spot along the coast with cliffs, caves, and amazing ocean views. It’s one of those places that feels very “Dana Point” and is perfect for exploring or taking pictures.",https://images.squarespace-cdn.com/content/v1/5c81f8d10b77bd7cfa2c6904/1594477678169-70S22PFPA5TNEAXB72V0/IMG_6455.JPG?format=1000w
Doheny State Beach,"25300 Dana Point Harbor Dr, Dana Point, CA 92629",Beach,"One of the most popular beaches in Dana Point with a really relaxed and easygoing vibe. It’s perfect for surfing, picnics, and hanging out by the water, especially with how accessible everything is. I’ve spent so many days here just walking the beach and watching the sunset.",https://metrolinktrains.com/globalassets/explore/orange/doheny-state-beach.jpg
Baby Beach / Mother's Beach,"24370 Dana Point Harbor Drive, Dana Point, CA 92629.",Beach,"A calm, protected beach inside the harbor that’s perfect for swimming and paddleboarding. The water is usually super gentle, which makes it a great spot to just relax without big waves. It’s one of my favorite places to go when I want something peaceful and less crowded.",https://funorangecountyparks.com/wp-content/uploads/2011/08/i-JmrpJV6-M.jpg
